Running time,Based on,Clean box office,Clean budget,English,Year,Covid-19,20th Century Fox,Other studio,Paramount Pictures,Sony Pictures Releasing,Streaming,Universal Pictures,Walt Disney Studios,Warner Bros. Pictures,Month,G,PG,PG-13,R,Part_of_franchise,Sci-fi,Biography,Documentary,Mystery & thriller,Drama,Holiday,Western,Horror,Fantasy,Action,Kids & family,Lgbtq+,War,Crime,Comedy,History,Music,Romance,Adventure,Animation,Musical,Lionsgate,Max_prev_box_office_director,Prev_box_office_actors,Avg_ratings_score_director,Median_main_genre_box_office,Weekly_budget_ratio,Previous_movie_box_office
98.0,1,59800000.0,11000000.0,1,2000,0,False,False,False,False,False,False,False,True,1,False,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0.0,310460000.0,64.53950143811011,12150000.0,0.12154696132596685,27400000.0
95.0,1,35500000.0,4500000.0,1,2000,0,False,False,False,False,False,False,False,True,1,False,True,False,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0.0,1091629156.8,64.53950143811011,25400000.0,0.049723756906077346,0.0
90.0,0,14800000.0,75000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,True,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,153500000.0,774581835.1999999,41.0,45700000.0,0.8287292817679558,0.0
101.0,1,34300000.0,7000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,False,True,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,1900000.0,672902156.8000001,71.0,12200000.0,0.08120649651972157,0.0
96.0,0,1200000.0,13000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,0.0,0.0,64.53950143811011,12262330.0,0.15081206496519722,0.0
92.0,0,24400000.0,35000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0.0,317312944.8,64.53950143811011,18045259.0,0.4060324825986079,0.0
104.0,1,468684.0,13000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,2198044.0,693246025.1999999,73.0,12150000.0,0.15081206496519722,0.0
111.0,0,11200000.0,1200000.0,1,2000,0,False,False,True,False,False,False,False,False,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,1056049780.0,64.53950143811011,5985690.0,0.013921113689095127,0.0
88.0,0,779137.0,13000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,840060498.6,64.53950143811011,5985690.0,0.15081206496519722,0.0
100.0,1,26394.0,13000000.0,1,2000,0,False,True,False,False,False,False,False,False,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,134741071.4,64.53950143811011,5939449.0,0.14942528735632185,0.0
120.0,0,28000000.0,7000000.0,1,2000,0,False,False,False,False,False,False,False,True,1,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,227660920.6,64.53950143811011,5900000.0,0.08045977011494253,0.0
95.0,1,3000000.0,36000000.0,1,2000,0,False,False,False,False,False,True,False,False,1,False,False,False,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,113300000.0,518451313.0,43.75,12000000.0,0.41379310344827586,0.0
117.0,1,161800000.0,40000000.0,1,2000,0,False,True,False,False,False,False,False,False,2,False,False,False,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False,173000000.0,854247648.8,60.4,16700000.0,0.7407407407407407,172000000.0
89.0,0,62500000.0,13000000.0,1,2000,0,False,False,True,False,False,False,False,False,2,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,0.0,190271093.0,64.53950143811011,26000000.0,0.10083381811130503,0.0
77.0,1,96200000.0,65925000.0,1,2000,0,False,False,False,False,False,False,True,False,2,True,False,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,False,0.0,0.0,64.53950143811011,26600000.0,0.5113438045375218,0.0
94.0,1,51900000.0,40000000.0,1,2000,0,False,False,False,True,False,False,False,False,2,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,7929434.0,1815872221.0,61.0,12100000.0,0.3835091083413231,0.0
104.0,0,53200000.0,23000000.0,1,2000,0,False,True,False,False,False,False,False,False,2,False,False,False,True,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,14000000.0,109216906.2,44.0,43850000.0,0.22051773729626079,0.0
98.0,0,106400000.0,41300000.0,1,2000,0,False,True,False,False,False,False,False,False,2,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,86000000.0,3487473370.8,50.166666666666664,12100000.0,0.3959731543624161,0.0
104.0,0,32200000.000000004,42000000.0,1,2000,0,False,True,False,False,False,False,False,False,2,False,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,70700000.0,1670260718.2,53.5,9750000.0,0.4329896907216495,0.0
82.0,0,9800000.0,3400000.0,1,2000,0,False,True,False,False,False,False,False,False,3,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0.0,148354640.0,64.53950143811011,12150000.0,0.032567049808429116,0.0
96.0,0,15900000.0,16000000.0,1,2000,0,False,True,False,False,False,False,False,False,3,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,3500000.0,1673917803.6000001,83.0,12100000.0,0.1532567049808429,0.0
108.0,0,24300000.0,25000000.0,1,2000,0,False,False,True,False,False,False,False,False,3,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,False,55000000.0,449337266.4,51.5,12150000.0,0.23946360153256704,0.0
114.0,1,111000000.0,100000000.0,1,2000,0,False,False,False,False,False,False,True,False,3,False,True,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,457700000.0,1039725325.0,52.6,45700000.0,1.0,0.0
98.0,0,112900000.0,23000000.0,1,2000,0,False,False,False,False,False,False,False,True,3,False,False,False,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,77022830.0,64.53950143811011,16850000.0,0.21904761904761905,0.0
113.0,1,47100000.0,30000000.0,1,2000,0,False,False,False,False,False,False,True,False,3,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,67000000.0,755318280.8,59.0,18137661.0,0.2857142857142857,0.0
